id,num_adults,num_children,meal,required_transport,room_type_reserved,arrival_year,arrival_month,arrival_date,avg_price_per_room,booking_status,num_staying_nights,meal_id,room_type_id,room_number,expenses
Booking00071,2,0,Meal Plan 1,0,Double,2022,12,31,120.0,Not_Canceled,4,1,1,105,46
Booking00072,2,0,Not Selected,0,Double,2022,2,20,108.0,Not_Canceled,2,4,1,121,24
Booking00073,2,0,Meal Plan 1,1,Double,2022,12,3,142.85,Not_Canceled,3,1,1,8,98
Booking00074,2,0,Meal Plan 1,0,Double,2022,10,9,120.0,Canceled,3,1,1,170,54
Booking00075,2,0,Meal Plan 1,0,Single,2021,1,31,95.0,Not_Canceled,6,1,4,32,89
Booking00076,2,0,Meal Plan 1,0,Single,2022,7,15,136.8,Not_Canceled,6,1,4,21,72
Booking00077,3,0,Meal Plan 1,0,Single,2022,3,5,141.5,Not_Canceled,3,1,4,287,29
Booking00078,2,0,Meal Plan 1,0,Double,2022,10,1,131.9,Not_Canceled,4,1,1,116,118
Booking00079,3,0,Meal Plan 1,0,Single,2022,10,2,141.55,Canceled,8,1,4,220,27
Booking00080,2,0,Meal Plan 1,0,Double,2022,7,3,95.0,Not_Canceled,6,1,1,121,65
Booking00081,2,2,Meal Plan 1,0,Delux,2022,8,7,179.3,Canceled,3,1,6,48,158
Booking00082,2,0,Meal Plan 1,0,Single,2022,1,17,152.3,Canceled,6,1,4,151,100
Booking00083,2,0,Not Selected,0,Double,2022,3,31,108.0,Not_Canceled,3,4,1,279,49
Booking00084,2,0,Meal Plan 1,0,Single,2022,7,20,118.82,Not_Canceled,6,1,4,99,38
Booking00085,2,0,Meal Plan 1,1,Single,2022,7,10,118.3,Not_Canceled,4,1,4,130,76
Booking00086,1,0,Meal Plan 1,0,Double,2022,1,23,170.0,Not_Canceled,2,1,1,59,166
Booking00087,2,0,Not Selected,0,Double,2022,1,10,116.05,Not_Canceled,6,4,1,113,68
Booking00088,1,0,Meal Plan 1,0,Double,2022,10,21,150.0,Canceled,3,1,1,55,44
Booking00089,2,0,Not Selected,0,Double,2022,3,16,115.0,Not_Canceled,2,4,1,234,88
Booking00090,2,0,Meal Plan 1,0,Suit,2022,12,15,133.56,Not_Canceled,4,1,5,121,48
Booking00091,2,0,Not Selected,0,Double,2022,9,11,121.58,Not_Canceled,5,4,1,133,35
Booking00092,2,0,Meal Plan 1,1,Double,2022,7,24,125.3,Not_Canceled,4,1,1,76,104
Booking00093,2,0,Meal Plan 1,0,Single,2022,8,15,135.8,Not_Canceled,4,1,4,53,47
Booking00094,2,0,Meal Plan 1,0,Single,2022,9,25,169.4,Not_Canceled,2,1,4,191,66
Booking00095,2,0,Meal Plan 1,0,Double,2022,12,4,131.59,Canceled,8,1,1,293,74
Booking00096,2,1,Meal Plan 1,1,Double,2022,12,10,150.5,Not_Canceled,3,1,1,158,82
Booking00097,2,0,Meal Plan 2,0,Double,2022,12,24,135.0,Canceled,3,2,1,287,122
Booking00098,2,0,Meal Plan 1,0,Double,2022,8,19,110.95,Not_Canceled,5,1,1,142,66
Booking00099,2,0,Meal Plan 1,0,Double,2022,2,23,96.08,Not_Canceled,4,1,1,154,73
Booking00100,2,2,Meal Plan 1,0,Delux,2022,3,28,176.9,Not_Canceled,5,1,6,127,83
Booking00101,2,0,Not Selected,0,Double,2022,1,29,105.5,Not_Canceled,2,4,1,164,33
Booking00102,3,0,Meal Plan 1,0,Single,2022,9,19,179.3,Not_Canceled,4,1,4,248,152
Booking00103,1,0,Meal Plan 1,0,Double,2022,3,19,94.8,Not_Canceled,5,1,1,89,81
Booking00104,2,0,Meal Plan 1,0,Double,2021,1,5,115.0,Not_Canceled,2,1,1,162,71
Booking00105,2,0,Meal Plan 1,0,Double,2021,1,14,127.0,Not_Canceled,4,1,1,146,45
Booking00106,2,0,Meal Plan 1,0,Double,2022,6,22,84.0,Not_Canceled,4,1,1,171,66
Booking00107,2,0,Meal Plan 1,1,Double,2021,2,8,102.95,Not_Canceled,6,1,1,81,33
Booking00108,2,0,Meal Plan 1,0,Single,2021,1,27,175.0,Not_Canceled,5,1,4,206,81
Booking00109,2,0,Not Selected,0,Double,2022,10,4,121.68,Not_Canceled,2,4,1,2,64
Booking00110,2,0,Meal Plan 1,0,Double,2021,1,11,114.5,Not_Canceled,4,1,1,211,45
Booking00111,2,0,Meal Plan 1,0,Double,2022,1,4,137.9,Canceled,3,1,1,115,86
Booking00112,2,0,Not Selected,0,Double,2022,10,1,147.0,Not_Canceled,2,4,1,79,123
Booking00113,2,0,Not Selected,0,Double,2022,10,22,136.1,Not_Canceled,4,4,1,270,68
Booking00114,2,0,Meal Plan 1,0,Double,2022,10,4,137.9,Not_Canceled,6,1,1,58,56
Booking00115,2,2,Meal Plan 1,0,Suit,2022,10,1,204.24,Canceled,5,1,2,270,127
Booking00116,3,0,Meal Plan 1,1,Single,2022,12,19,175.7,Not_Canceled,5,1,4,170,45
Booking00117,3,0,Meal Plan 1,0,Single,2022,8,28,155.76,Canceled,8,1,4,91,122
Booking00118,2,1,Meal Plan 1,0,Double,2022,2,18,122.83,Not_Canceled,8,1,1,36,98
Booking00119,2,0,Meal Plan 1,0,Double,2022,8,3,85.0,Canceled,2,1,1,95,39
Booking00120,2,0,Meal Plan 1,0,Double,2021,2,20,123.0,Not_Canceled,6,1,1,252,41
Booking00121,2,0,Meal Plan 1,0,Double,2022,1,7,126.2,Canceled,4,1,1,103,40
Booking00122,2,0,Meal Plan 2,0,Double,2022,1,22,78.5,Not_Canceled,3,2,1,209,50
Booking00123,2,0,Meal Plan 1,0,Double,2022,7,16,93.95,Canceled,5,1,1,210,37
Booking00124,2,0,Meal Plan 1,0,Double,2022,9,11,125.3,Not_Canceled,4,1,1,13,50
Booking00125,3,0,Meal Plan 1,0,Single,2022,8,30,153.2,Not_Canceled,3,1,4,249,52
Booking00126,2,0,Meal Plan 1,0,Double,2022,7,4,105.5,Not_Canceled,3,1,1,299,100
Booking00127,1,0,Meal Plan 1,0,Double,2022,2,9,132.0,Canceled,2,1,1,297,24
Booking00128,2,2,Meal Plan 1,0,Delux,2022,1,20,210.8,Canceled,3,1,6,296,58
Booking00129,1,0,Meal Plan 1,0,Double,2022,10,11,130.0,Not_Canceled,6,1,1,108,47
Booking00130,2,0,Meal Plan 1,0,Single,2022,11,19,111.48,Not_Canceled,6,1,4,5,78
Booking00131,2,0,Not Selected,0,Double,2022,1,26,155.0,Not_Canceled,3,4,1,52,52
Booking00132,1,0,Meal Plan 1,0,Double,2022,1,23,149.0,Not_Canceled,4,1,1,143,109
Booking00133,2,0,Not Selected,0,Double,2022,3,2,90.55,Canceled,7,4,1,139,45
Booking00134,2,0,Meal Plan 1,0,Single,2021,1,25,95.0,Not_Canceled,6,1,4,6,83
Booking00135,1,0,Not Selected,0,Double,2022,7,3,92.25,Not_Canceled,5,4,1,73,49
Booking00136,2,0,Meal Plan 1,0,Single,2021,1,15,175.0,Not_Canceled,2,1,4,85,59
Booking00137,2,1,Meal Plan 1,0,Double,2022,11,31,141.5,Canceled,2,1,1,225,42
Booking00138,2,0,Meal Plan 1,0,Double,2022,10,2,110.95,Not_Canceled,8,1,1,253,40
Booking00139,1,0,Meal Plan 1,0,Double,2022,9,28,129.65,Not_Canceled,5,1,1,107,77
Booking00140,3,0,Meal Plan 1,0,Single,2022,8,21,162.72,Canceled,7,1,4,199,139
Booking00141,1,0,Meal Plan 1,0,Double,2022,9,15,110.0,Not_Canceled,4,1,1,74,67
Booking00142,2,0,Meal Plan 1,0,Double,2022,10,23,95.0,Canceled,3,1,1,97,86
Booking00143,2,0,Meal Plan 1,0,Double,2022,2,24,131.0,Canceled,3,1,1,136,113
Booking00144,2,0,Meal Plan 1,0,Double,2022,1,4,106.7,Not_Canceled,5,1,1,282,32
Booking00145,2,0,Meal Plan 1,0,Double,2022,7,2,137.9,Not_Canceled,2,1,1,175,98
Booking00146,1,0,Meal Plan 1,0,Double,2022,10,7,20.0,Not_Canceled,3,1,1,151,10
Booking00147,2,0,Not Selected,0,Double,2022,9,10,121.58,Not_Canceled,5,4,1,112,105
Booking00148,2,0,Not Selected,0,Double,2022,8,14,78.9,Not_Canceled,4,4,1,23,54
Booking00149,2,0,Meal Plan 1,0,Double,2022,10,14,140.0,Not_Canceled,2,1,1,196,79
Booking00150,2,0,Meal Plan 1,0,Single,2022,8,13,127.1,Canceled,6,1,4,156,104
Booking00151,2,0,Meal Plan 1,0,Double,2022,9,8,146.9,Not_Canceled,3,1,1,102,94
Booking00152,2,0,Meal Plan 1,0,Single,2022,1,3,159.5,Canceled,4,1,4,11,26
Booking00153,2,0,Not Selected,0,Double,2022,8,10,100.75,Not_Canceled,5,4,1,285,73
Booking00154,2,0,Meal Plan 2,0,Double,2021,11,23,129.0,Canceled,3,2,1,91,109
Booking00155,2,0,Meal Plan 2,0,Double,2022,8,12,124.0,Not_Canceled,2,2,1,171,79
Booking00156,1,0,Meal Plan 1,0,Double,2022,2,7,85.0,Not_Canceled,4,1,1,160,44
Booking00157,2,0,Meal Plan 1,0,Single,2022,9,30,160.4,Not_Canceled,4,1,4,277,146
Booking00158,2,0,Meal Plan 1,0,Double,2022,6,23,95.0,Not_Canceled,4,1,1,199,87
Booking00159,2,0,Not Selected,0,Double,2022,8,20,114.5,Canceled,2,4,1,240,41
Booking00160,2,0,Not Selected,0,Double,2022,10,11,129.0,Not_Canceled,2,4,1,70,68
Booking00161,2,0,Meal Plan 1,0,Double,2022,2,18,125.0,Not_Canceled,5,1,1,98,58
Booking00162,2,0,Meal Plan 1,0,Single,2022,8,23,127.95,Not_Canceled,5,1,4,132,79
Booking00163,3,0,Meal Plan 1,0,Suit,2022,1,13,235.6,Not_Canceled,5,1,7,216,95
Booking00164,2,0,Not Selected,0,Double,2022,12,7,105.5,Not_Canceled,3,4,1,137,36
Booking00165,2,0,Meal Plan 1,0,Double,2022,11,18,125.3,Not_Canceled,3,1,1,293,53
Booking00166,1,0,Meal Plan 2,0,Double,2022,5,8,21.0,Not_Canceled,4,2,1,7,16
Booking00167,2,0,Meal Plan 1,0,Single,2022,10,21,176.0,Canceled,3,1,4,7,76
Booking00168,1,0,Meal Plan 1,0,Double,2022,2,22,93.15,Not_Canceled,3,1,1,195,32
Booking00169,2,0,Meal Plan 1,0,Double,2022,1,25,130.0,Canceled,4,1,1,122,27
Booking00170,2,1,Not Selected,0,Double,2021,1,19,107.4,Not_Canceled,2,4,1,247,85
Booking00171,2,0,Meal Plan 1,0,Double,2022,1,21,140.0,Canceled,3,1,1,257,65
Booking00172,2,0,Not Selected,0,Double,2022,3,22,99.2,Canceled,4,4,1,100,33
Booking00173,2,0,Meal Plan 1,0,Double,2022,10,4,110.95,Not_Canceled,5,1,1,64,39
Booking00174,2,0,Meal Plan 1,0,Double,2022,1,24,111.48,Not_Canceled,5,1,1,219,63
Booking00175,2,1,Meal Plan 1,0,Double,2022,2,11,170.0,Canceled,2,1,1,170,74
Booking00176,2,0,Not Selected,0,Double,2022,7,28,109.0,Not_Canceled,2,4,1,138,45
Booking00177,2,0,Not Selected,0,Double,2022,12,23,111.43,Not_Canceled,6,4,1,160,61
Booking00178,2,0,Meal Plan 1,0,Double,2022,9,26,160.0,Not_Canceled,3,1,1,264,90
Booking00179,1,1,Not Selected,0,Double,2021,1,30,107.78,Not_Canceled,8,4,1,77,53
Booking00180,2,0,Meal Plan 2,0,Double,2022,11,27,135.0,Canceled,3,2,1,225,80
Booking00181,2,0,Meal Plan 1,0,Double,2021,1,15,100.85,Not_Canceled,4,1,1,128,69
Booking00182,2,0,Meal Plan 1,0,Double,2022,7,5,102.45,Not_Canceled,5,1,1,90,92
Booking00183,2,0,Not Selected,0,Double,2022,1,17,128.0,Canceled,2,4,1,143,108
Booking00184,2,0,Meal Plan 1,0,Single,2022,8,8,116.3,Not_Canceled,3,1,4,67,19
Booking00185,2,0,Meal Plan 1,0,Double,2022,12,28,119.45,Canceled,7,1,1,214,25
Booking00186,2,0,Meal Plan 1,0,Single,2022,9,19,160.4,Not_Canceled,3,1,4,200,135
Booking00187,2,0,Meal Plan 1,0,Double,2022,12,14,92.25,Not_Canceled,5,1,1,277,61
Booking00188,2,0,Meal Plan 1,0,Single,2022,12,21,146.0,Not_Canceled,6,1,4,135,100
Booking00189,2,0,Meal Plan 1,0,Double,2022,12,25,98.0,Canceled,6,1,1,83,29
Booking00190,1,0,Meal Plan 1,0,Single,2022,2,12,166.6,Not_Canceled,5,1,4,36,85
Booking00191,2,0,Meal Plan 1,0,Double,2022,1,16,138.8,Canceled,4,1,1,96,118
Booking00192,1,0,Meal Plan 1,0,Double,2022,1,12,165.0,Canceled,2,1,1,144,98
Booking00193,2,0,Meal Plan 1,0,Double,2022,8,12,104.58,Canceled,5,1,1,251,61
Booking00194,2,0,Meal Plan 2,0,Double,2022,7,31,150.0,Canceled,4,2,1,282,128
Booking00195,2,0,Meal Plan 1,0,Single,2022,12,9,138.88,Canceled,15,1,4,142,97
Booking00196,2,0,Meal Plan 1,0,Double,2022,9,4,121.52,Not_Canceled,4,1,1,54,59
Booking00197,2,0,Meal Plan 1,0,Double,2021,1,17,120.0,Canceled,2,1,1,41,35
Booking00198,2,0,Meal Plan 1,0,Double,2022,7,26,78.0,Not_Canceled,4,1,1,283,53
Booking00199,2,0,Meal Plan 1,0,Double,2022,7,29,81.5,Not_Canceled,5,1,1,187,37
Booking00200,2,0,Meal Plan 2,0,Double,2022,1,1,127.0,Canceled,4,2,1,296,50
Booking00201,2,0,Not Selected,0,Double,2022,12,30,107.3,Not_Canceled,6,4,1,50,100
Booking00202,2,0,Meal Plan 1,0,Double,2021,11,22,96.5,Canceled,3,1,1,41,23
Booking00203,2,0,Not Selected,0,Double,2022,3,22,83.75,Canceled,5,4,1,51,26
Booking00204,2,0,Meal Plan 1,0,Double,2022,9,19,115.0,Canceled,4,1,1,285,107
Booking00205,2,0,Meal Plan 1,0,Double,2022,2,25,95.0,Not_Canceled,4,1,1,237,43
Booking00206,2,0,Meal Plan 1,0,Double,2022,1,14,90.0,Canceled,4,1,1,101,25
Booking00207,2,0,Meal Plan 1,0,Double,2022,9,8,121.58,Not_Canceled,5,1,1,222,77
Booking00208,2,0,Meal Plan 1,0,Double,2022,12,27,105.0,Not_Canceled,6,1,1,180,73
Booking00209,2,0,Meal Plan 1,0,Double,2022,3,9,118.39,Not_Canceled,7,1,1,232,92
Booking00210,1,0,Meal Plan 1,0,Double,2022,6,1,20.0,Not_Canceled,1,1,1,26,18
Booking00211,2,0,Meal Plan 1,0,Double,2021,1,28,126.07,Not_Canceled,4,1,1,66,106
Booking00212,2,0,Meal Plan 1,0,Double,2022,11,24,125.0,Not_Canceled,3,1,1,182,57
Booking00213,2,0,Meal Plan 1,0,Double,2021,1,28,165.0,Not_Canceled,2,1,1,166,72
Booking00214,3,0,Meal Plan 1,0,Double,2022,12,19,126.03,Canceled,4,1,1,219,36
Booking00215,2,0,Meal Plan 1,0,Double,2022,12,19,134.3,Not_Canceled,5,1,1,198,108
Booking00216,1,0,Not Selected,0,Double,2022,3,11,108.0,Not_Canceled,3,4,1,89,28
Booking00217,2,0,Meal Plan 1,0,Double,2021,1,21,109.25,Not_Canceled,3,1,1,60,95
Booking00218,2,1,Meal Plan 1,0,Single,2022,7,26,106.32,Not_Canceled,8,1,4,93,31
Booking00219,2,0,Meal Plan 1,0,Double,2022,1,19,110.0,Not_Canceled,4,1,1,174,99
Booking00220,2,0,Meal Plan 1,0,Double,2021,12,28,75.96000000000001,Not_Canceled,8,1,1,178,23
Booking00221,1,0,Not Selected,0,Double,2022,10,14,129.0,Not_Canceled,3,4,1,84,33
Booking00222,2,0,Meal Plan 1,0,Double,2022,7,7,106.0,Not_Canceled,2,1,1,75,55
Booking00223,2,0,Meal Plan 1,0,Double,2022,1,11,138.95,Not_Canceled,7,1,1,16,27
Booking00224,2,0,Meal Plan 1,0,Double,2022,10,16,150.0,Not_Canceled,3,1,1,11,99
Booking00225,2,0,Not Selected,0,Double,2022,8,20,110.56,Not_Canceled,5,4,1,185,59
Booking00226,2,0,Meal Plan 1,0,Double,2022,8,7,107.3,Not_Canceled,3,1,1,179,29
Booking00227,2,2,Meal Plan 1,0,Delux,2022,9,1,197.65,Canceled,5,1,6,77,162
Booking00228,1,2,Meal Plan 1,0,Delux,2021,1,25,220.75,Not_Canceled,5,1,6,197,203
Booking00229,2,1,Meal Plan 1,0,Double,2022,7,24,147.0,Not_Canceled,3,1,1,84,54
Booking00230,1,0,Meal Plan 1,0,Double,2022,6,11,92.9,Canceled,4,1,1,166,79
Booking00231,3,0,Meal Plan 1,0,Single,2022,9,13,179.3,Canceled,3,1,4,167,44
Booking00232,2,1,Meal Plan 1,0,Double,2022,9,18,155.15,Not_Canceled,5,1,1,230,50
Booking00233,1,0,Meal Plan 1,0,Double,2022,1,2,110.0,Not_Canceled,3,1,1,242,47
Booking00234,2,0,Not Selected,0,Double,2021,1,24,134.0,Not_Canceled,2,4,1,257,29
Booking00235,2,1,Meal Plan 1,1,Double,2022,10,27,145.1,Not_Canceled,2,1,1,104,92
Booking00236,2,0,Not Selected,0,Double,2021,12,20,115.13,Not_Canceled,9,4,1,188,36
Booking00237,2,0,Meal Plan 1,0,Suit,2022,8,3,125.84,Canceled,3,1,5,53,59
Booking00238,2,0,Meal Plan 1,0,Double,2022,3,1,122.0,Canceled,5,1,1,256,72
Booking00239,2,0,Not Selected,0,Double,2022,3,8,94.8,Not_Canceled,5,4,1,196,41
Booking00240,2,0,Not Selected,0,Double,2022,8,30,114.5,Canceled,2,4,1,193,100
Booking00241,2,0,Not Selected,0,Double,2022,10,22,140.6,Not_Canceled,7,4,1,164,69
Booking00242,2,0,Meal Plan 1,0,Double,2021,1,15,159.33,Not_Canceled,4,1,1,271,117
Booking00243,2,0,Meal Plan 1,0,Double,2021,1,9,125.0,Not_Canceled,3,1,1,172,106
Booking00244,2,0,Not Selected,0,Double,2022,1,20,120.0,Not_Canceled,3,4,1,156,37
Booking00245,2,0,Meal Plan 1,0,Double,2022,6,14,100.3,Not_Canceled,2,1,1,4,39
Booking00246,1,0,Meal Plan 1,0,Double,2021,1,8,120.0,Not_Canceled,3,1,1,5,55
Booking00247,2,0,Meal Plan 1,1,Double,2022,7,30,125.3,Not_Canceled,4,1,1,104,99
Booking00248,2,0,Meal Plan 1,0,Single,2022,9,5,132.8,Canceled,5,1,4,238,73
Booking00249,2,0,Meal Plan 1,0,Double,2022,12,21,171.0,Canceled,4,1,1,251,103
Booking00250,1,0,Meal Plan 1,0,Double,2021,2,15,111.0,Not_Canceled,5,1,1,199,39
Booking00251,3,0,Meal Plan 1,0,Single,2022,12,19,166.7,Canceled,4,1,4,23,156
Booking00252,2,0,Meal Plan 1,0,Double,2021,1,8,78.4,Not_Canceled,6,1,1,93,26
Booking00253,2,0,Not Selected,0,Double,2022,11,1,100.75,Canceled,5,4,1,30,60
Booking00254,2,0,Not Selected,0,Double,2022,9,27,96.5,Not_Canceled,3,4,1,129,34
Booking00255,3,0,Meal Plan 1,0,Single,2022,1,13,160.13,Not_Canceled,4,1,4,107,70
Booking00256,2,0,Not Selected,0,Double,2021,2,21,96.0,Not_Canceled,7,4,1,184,23
Booking00257,2,0,Meal Plan 1,0,Double,2021,1,22,220.0,Not_Canceled,2,1,1,86,178
Booking00258,2,0,Meal Plan 2,0,Double,2021,1,22,121.5,Canceled,3,2,1,102,50
Booking00259,2,0,Not Selected,0,Double,2022,1,24,128.0,Not_Canceled,4,4,1,225,33
Booking00260,3,0,Meal Plan 2,0,Single,2022,11,29,209.0,Not_Canceled,6,2,4,242,171
Booking00261,3,0,Meal Plan 1,0,Single,2022,10,17,186.0,Not_Canceled,3,1,4,12,173
Booking00262,2,0,Not Selected,0,Double,2022,5,22,87.5,Not_Canceled,3,4,1,7,20
Booking00263,2,0,Meal Plan 1,0,Single,2021,1,20,98.54,Not_Canceled,5,1,4,159,51
Booking00264,1,0,Meal Plan 1,0,Double,2022,2,12,172.1,Canceled,5,1,1,298,124
Booking00265,1,0,Meal Plan 1,0,Double,2022,1,21,135.0,Canceled,4,1,1,166,124
Booking00266,2,0,Not Selected,0,Double,2021,1,8,86.53,Not_Canceled,8,4,1,46,35
Booking00267,1,0,Meal Plan 1,0,Double,2021,12,18,20.0,Not_Canceled,3,1,1,274,7
Booking00268,1,0,Meal Plan 1,0,Double,2021,12,29,20.0,Not_Canceled,4,1,1,192,14
